Student ID, First Name, Last Name, Date Of Birth, ClassNo, GPA
20181869,fn-Dsr,ln-Eewprnokqe,1995-11-09,C604,1.81
20204282,fn-Xwrvphuqg,ln-Xnxrkemh,2006-11-09,C303,1.77
20184143,fn-Nwsbtfke,ln-Pbru,2002-10-31,C605,3.95
20185780,fn-Pkg,ln-Hqsuct,2000-12-21,C601,1.07
20182875,fn-Hqtldkqrph,ln-Xrchhzwgfp,2009-07-25,C502,0.62
20194430,fn-Pxyk,ln-Nfsptq,1996-12-17,C504,2.54
20193469,fn-Clbkyv,ln-Hiyj,1998-07-22,C205,3.09
20193997,fn-Kyevub,ln-Lrfm,2001-02-14,C401,2.25
20204563,fn-Zqdw,ln-Fxfcxyb,2006-10-08,C601,0.25
20203414,fn-Olcl,ln-Xtqussdk,2005-12-02,C304,0.04
20203280,fn-Twyxgm,ln-Nrostyjl,1997-10-29,C104,3.88
20181781,fn-Kbjnpurdi,ln-Zfvszhk,1996-12-03,C301,3.48
20201709,fn-Wsymxuk,ln-Vfgpkn,1990-12-12,C602,1.4
20205803,fn-Uvgtpkr,ln-Mwzxsnyh,2002-06-13,C404,3.88
20191521,fn-Vpdg,ln-Tureodzswc,2008-07-22,C502,3.65
20193760,fn-Qmd,ln-Mqt,2005-09-07,C401,3.29
20203488,fn-Urqczp,ln-Ejn,1991-12-23,C201,0.79
20194189,fn-Iuqsnnignk,ln-Dxhseub,2001-10-27,C404,3.74
20182820,fn-Imffq,ln-Xuxcwmffo,2010-11-19,C204,2.14
20203381,fn-Ctwpkrmxqd,ln-Qeorq,2000-12-27,C103,3.51
20185982,fn-Ejxffkqmbi,ln-Pfcbykdwet,1995-10-05,C605,2.37
20193576,fn-Glssm,ln-Zlxinjxfk,2001-01-30,C405,3.98
20204053,fn-Nbun,ln-Klnxzmczrh,2010-12-25,C403,2.31
20204629,fn-Zipw,ln-Ypqlmrh,1995-06-22,C203,2.21
20203701,fn-Uqpxsiqxw,ln-Tielcsr,2002-10-10,C204,3.28
20203752,fn-Hycu,ln-Bibwffrs,2006-07-22,C105,0.99
20191384,fn-Epi,ln-Wzrqzxxrpo,2006-12-27,C304,0.46
20182399,fn-Lwxty,ln-Nzfneighqb,2010-12-27,C203,3.49
20202107,fn-Vgxz,ln-Lwtjwnlxl,2001-02-13,C201,3.42
20182816,fn-Knsgplqgp,ln-Yojzrugn,1990-11-02,C601,1.04
20194720,fn-Kkmv,ln-Qix,2004-04-23,C305,1.03
20205402,fn-Ibq,ln-Boicqkwgv,1995-07-20,C203,3.73
20185256,fn-Imokzxl,ln-Fwscku,1999-07-11,C501,3.39
20203470,fn-Wxhecerdru,ln-Oxqkn,1992-10-22,C405,2.75
20203227,fn-Swvnyp,ln-Vxdwiyvb,1995-09-29,C501,1.56
20193225,fn-Tmvh,ln-Cyn,1992-01-05,C205,1.91
20205802,fn-Nqiti,ln-Kifvixngk,2002-01-25,C603,1.41
20194282,fn-Gdbqyqlm,ln-Rfytqwwxx,1993-10-05,C304,3.01
20203868,fn-Rcomudzhkl,ln-Pzn,2002-12-11,C201,2.96
20202781,fn-Wnxvo,ln-Nkfuehym,2004-11-16,C504,0.62
20205399,fn-Lnvmiwlxu,ln-Fkyfdop,1993-10-31,C502,2.52
20202735,fn-Lxlkrykeqx,ln-Jpd,1991-08-18,C103,3.24
20182046,fn-Hug,ln-Sdrhd,1994-10-21,C105,0.03
20194770,fn-Quoz,ln-Qknwjqmw,1995-03-08,C401,3.42
20181601,fn-Teuzz,ln-Xipdq,1998-10-07,C503,1.37
20184997,fn-Sjeevzvbxp,ln-Swnqb,2006-10-17,C301,3.44
20185345,fn-Kiufbcfw,ln-Oqk,2001-12-06,C404,3.83
20201124,fn-Zbttz,ln-Tdh,1996-10-25,C603,0.9
20203812,fn-Zdw,ln-Ikflxovcs,1999-12-15,C402,2.38
20183505,fn-Ypsdxwspue,ln-Onmnqnkwle,2003-11-18,C201,2.63
20203411,fn-Ito,ln-Ztz,1999-11-28,C102,2.56
20202194,fn-Vocx,ln-Lytzsm,2009-11-19,C502,1.91
20192121,fn-Qfstvpvc,ln-Nssfyvhwrs,2005-09-28,C603,3.29
20184544,fn-Ipmj,ln-Flsptfft,1996-09-23,C304,0.34
20181995,fn-Iovbuvjdg,ln-Nhquoz,2003-02-18,C302,1.3
20201194,fn-Vnhubd,ln-Ilxzsmciu,1994-10-31,C404,0.25
20195979,fn-Lwodxsrgz,ln-Ndcybnm,2004-09-21,C202,0.57
20192202,fn-Hykhbs,ln-Pbiokhfnxf,1998-06-25,C302,2.07
20182865,fn-Uql,ln-Ckddvzw,1994-04-03,C201,3.66
20203395,fn-Zyvslbb,ln-Xjjbswdxos,1998-05-25,C401,2.86
20203348,fn-Rmnggndzme,ln-Cftuvtuvxn,1994-04-05,C101,2.49
20184828,fn-Vqpjb,ln-Wds,1990-10-01,C502,2.28
20185456,fn-Tmsvi,ln-Tmfrsdom,1999-03-29,C404,1.5
20195844,fn-Kgbq,ln-Lliycht,2008-03-04,C102,1.18
20185232,fn-Wbbekd,ln-Zqtzlknivb,2005-09-26,C304,0.95
20185007,fn-Weyxmx,ln-Gkjpnzkbfz,1999-03-05,C401,3.42
20203595,fn-Vmn,ln-Hpnd,2005-08-22,C105,0.8
20181300,fn-Lbf,ln-Zwbrc,1997-10-14,C501,2.54
20205594,fn-Lhdotirtt,ln-Pvqsvzu,2002-12-27,C505,3.89
20204835,fn-Wir,ln-Icnnulh,1993-08-16,C203,2.62
20185734,fn-Fkdk,ln-Fiuzozdmf,1999-09-11,C502,1.92
20193173,fn-Yopqu,ln-Sfxqqszw,2007-09-01,C503,3.27
20192728,fn-Rzyr,ln-Ooxznllsmg,2003-05-13,C305,0.41
20195911,fn-Dwxksr,ln-Utqfwrnrqb,2008-09-15,C604,1.58
20192651,fn-Rzzrsejv,ln-Phefszjwg,2005-11-12,C201,3.64
20182438,fn-Nlq,ln-Ezvhv,2010-08-21,C205,1.7
20203864,fn-Blttshh,ln-Gkzodxnzqf,1999-04-10,C204,3.44
20192685,fn-Bfyrs,ln-Pekim,1994-04-09,C404,0.2
20194325,fn-Kjz,ln-Mblm,2006-12-11,C402,3.42
20181870,fn-Tun,ln-Xfwrdz,1993-06-01,C404,3.99
20195978,fn-Ntm,ln-Pmefvvzycp,2006-04-25,C405,2.3
20184097,fn-Xgsocrn,ln-Ktgrqfgouw,2005-10-27,C205,1.52
20194917,fn-Mewld,ln-Jlpdrupc,1999-03-23,C305,1.96
20203135,fn-Xne,ln-Folfujfqox,1994-10-25,C201,1.52
20202866,fn-Dpic,ln-Izusdw,2006-11-25,C401,0.01
20193566,fn-Fjfbgujd,ln-Ojsr,1990-10-23,C603,3.14
20203106,fn-Wkouh,ln-Fjczvwbl,2001-05-01,C201,0.85
20194761,fn-Odyzodejq,ln-Mhtlfmd,2008-01-22,C102,2.94
20204269,fn-Dystfoqdpj,ln-Qcow,1997-07-14,C104,0.49
20181484,fn-Mhzoytkid,ln-Pbvwsld,2003-01-12,C105,0.36
20203777,fn-Ntnzuybjo,ln-Tyqyyjhf,2009-03-27,C502,2.39
20194097,fn-Mbkkkdtus,ln-Oyhunx,2007-10-08,C103,2.31
20184583,fn-Cic,ln-Zibtsygiyx,1999-10-10,C202,3.18
20204952,fn-Pqmkvl,ln-Dzlslfndx,2006-06-26,C601,3.26
